証券コード,銘柄名,業種（日経業種分類）,決算期,PER（株価収益率、倍）,業種平均PER（倍）,"PER評価
（利益に対する割安・割高／業種平均より低いか）",PBR（株価純資産倍率、倍）,業種平均PBR（倍）,"PBR評価
（資産に対する割安・割高／1倍前後・業種平均比）",配当利回り（%）,配当性向（%）,"配当評価
（増配傾向か／性向が過度に高くないか）",ROE（自己資本利益率、%）,"ROE評価
（資本効率。目安8〜10%以上）",営業利益率の推移（直近3期以上）,"営業利益率評価
（収益力の安定性。安定/改善しているか）",自己資本比率（%）,"自己資本比率評価
（財務健全性。業種特性を踏まえ低すぎないか）",データ取得日・出所
6645,オムロン,電気機器,,41.47,40.90,割高（業種平均以上）,1.33,5.91,やや割安（業種平均より低い）,1.89,,,,,,,,,
6701,NEC,電気機器,,,40.90,データなし,2.44,5.91,やや割安（業種平均より低い）,1.01,,,,,,,,,
6702,富士通,電気機器,,18.17,40.90,割安（業種平均より低い）,2.81,5.91,やや割安（業種平均より低い）,1.69,,,,,,,,,
6723,ルネサスエレクトロニクス,電気機器,,,40.90,データなし,3.43,5.91,やや割安（業種平均より低い）,,,,,,,,,,
6724,セイコーエプソン,電気機器,,14.65,40.90,割安（業種平均より低い）,1.00,5.91,割安（1倍前後かつ業種平均より低い）,2.96,,,,,,,,,
6752,パナソニック ホールディングス,電気機器,,25.03,40.90,割安（業種平均より低い）,1.97,5.91,やや割安（業種平均より低い）,1.19,,,,,,,,,
6753,シャープ,電気機器,,10.07,40.90,割安（業種平均より低い）,1.47,5.91,やや割安（業種平均より低い）,,,,,,,,,,
6758,ソニーグループ,電気機器,,16.65,40.90,割安（業種平均より低い）,2.39,5.91,やや割安（業種平均より低い）,1.06,,,,,,,,,
6762,TDK,電気機器,,30.12,40.90,割安（業種平均より低い）,3.12,5.91,やや割安（業種平均より低い）,1.12,,,,,,,,,
6770,アルプスアルパイン,電気機器,,13.30,40.90,割安（業種平均より低い）,0.88,5.91,割安（1倍前後かつ業種平均より低い）,3.12,,,,,,,,,
6841,横河電機,電気機器,,24.32,40.90,割安（業種平均より低い）,2.72,5.91,やや割安（業種平均より低い）,1.63,,,,,,,,,
6857,アドバンテスト,電気機器,,50.36,40.90,割高（業種平均以上）,29.10,5.91,割高（1倍超・業種平均以上）,,,,,,,,,,
6861,キーエンス,電気機器,,,40.90,データなし,5.46,5.91,やや割安（業種平均より低い）,0.67,,,,,,,,,
6902,デンソー,電気機器,,12.31,40.90,割安（業種平均より低い）,0.86,5.91,割安（1倍前後かつ業種平均より低い）,3.94,,,,,,,,,
6920,レーザーテック,電気機器,,61.87,40.90,割高（業種平均以上）,19.56,5.91,割高（1倍超・業種平均以上）,0.66,,,,,,,,,
6954,ファナック,電気機器,,37.12,40.90,割安（業種平均より低い）,3.53,5.91,やや割安（業種平均より低い）,,,,,,,,,,
6963,ローム,電気機器,,71.67,40.90,割高（業種平均以上）,2.72,5.91,やや割安（業種平均より低い）,0.92,,,,,,,,,
6971,京セラ,電気機器,,33.06,40.90,割安（業種平均より低い）,1.38,5.91,やや割安（業種平均より低い）,1.57,,,,,,,,,
6976,太陽誘電,電気機器,,140.10,40.90,割高（業種平均以上）,6.76,5.91,割高（1倍超・業種平均以上）,0.44,,,,,,,,,
6981,村田製作所,電気機器,,70.79,40.90,割高（業種平均以上）,7.19,5.91,割高（1倍超・業種平均以上）,0.61,,,,,,,,,
6988,日東電工,化学,,15.01,18.47,割安（業種平均より低い）,1.84,1.75,割高（1倍超・業種平均以上）,2.01,,,,,,,,,
7004,カナデビア,機械,,10.17,20.80,割安（業種平均より低い）,1.09,1.99,割安（1倍前後かつ業種平均より低い）,2.99,,,,,,,,,
7011,三菱重工業,機械,,32.42,20.80,割高（業種平均以上）,3.97,1.99,割高（1倍超・業種平均以上）,0.79,,,,,,,,,
7012,川崎重工業,造船,,22.21,22.21,業種内比較銘柄なし（1社のみ）,2.77,2.77,業種内比較銘柄なし（1社のみ）,1.36,,,,,,,,,
7013,IHI,機械,,17.42,20.80,割安（業種平均より低い）,4.35,1.99,割高（1倍超・業種平均以上）,0.84,,,,,,,,,
7186,横浜フィナンシャルグループ,銀行,,14.93,14.13,割高（業種平均以上）,1.37,1.36,割高（1倍超・業種平均以上）,2.71,,,,,,,,,
7201,日産自動車,自動車,,52.45,16.46,割高（業種平均以上）,0.22,0.61,割安（1倍前後かつ業種平均より低い）,0.00,,,,,,,,,
7202,いすゞ自動車,自動車,,9.24,16.46,割安（業種平均より低い）,1.00,0.61,割安（1倍以下）,4.37,,,,,,,,,
7203,トヨタ自動車,自動車,,10.76,16.46,割安（業種平均より低い）,0.82,0.61,割安（1倍以下）,3.66,,,,,,,,,
7211,三菱自動車,自動車,,16.71,16.46,割高（業種平均以上）,0.46,0.61,割安（1倍前後かつ業種平均より低い）,3.20,,,,,,,,,
7261,マツダ,自動車,,7.63,16.46,割安（業種平均より低い）,0.36,0.61,割安（1倍前後かつ業種平均より低い）,5.05,,,,,,,,,
7267,ホンダ,自動車,,22.16,16.46,割高（業種平均以上）,0.49,0.61,割安（1倍前後かつ業種平均より低い）,4.72,,,,,,,,,
7269,スズキ,自動車,,9.93,16.46,割安（業種平均より低い）,1.12,0.61,割高（1倍超・業種平均以上）,2.60,,,,,,,,,
7270,SUBARU,自動車,,13.15,16.46,割安（業種平均より低い）,0.62,0.61,割安（1倍以下）,4.85,,,,,,,,,
7272,ヤマハ発動機,自動車,,11.92,16.46,割安（業種平均より低い）,1.02,0.61,割高（1倍超・業種平均以上）,4.07,,,,,,,,,
7453,良品計画,小売業,,30.30,26.93,割高（業種平均以上）,5.06,3.72,割高（1倍超・業種平均以上）,0.90,,,,,,,,,
7532,パン・パシフィック・インターナショナルホールディングス,小売業,,22.99,26.93,割安（業種平均より低い）,3.61,3.72,やや割安（業種平均より低い）,1.03,,,,,,,,,
7731,ニコン,精密機器,,74.78,37.84,割高（業種平均以上）,1.21,4.88,やや割安（業種平均より低い）,0.88,,,,,,,,,
7733,オリンパス,精密機器,,18.90,37.84,割安（業種平均より低い）,2.26,4.88,やや割安（業種平均より低い）,1.76,,,,,,,,,
7735,SCREENホールディングス,電気機器,,30.61,40.90,割安（業種平均より低い）,6.52,5.91,割高（1倍超・業種平均以上）,0.98,,,,,,,,,
7741,HOYA,精密機器,,34.18,37.84,割安（業種平均より低い）,8.46,4.88,割高（1倍超・業種平均以上）,,,,,,,,,,
7751,キヤノン,電気機器,,10.63,40.90,割安（業種平均より低い）,1.03,5.91,割安（1倍前後かつ業種平均より低い）,3.85,,,,,,,,,
7752,リコー,電気機器,,12.86,40.90,割安（業種平均より低い）,0.70,5.91,割安（1倍前後かつ業種平均より低い）,3.12,,,,,,,,,
7832,バンダイナムコホールディングス,その他製造,,18.67,19.04,割安（業種平均より低い）,2.86,1.51,割高（1倍超・業種平均以上）,,,,,,,,,,
7911,TOPPANホールディングス,その他製造,,26.14,19.04,割高（業種平均以上）,1.07,1.51,割安（1倍前後かつ業種平均より低い）,1.13,,,,,,,,,
7912,大日本印刷,その他製造,,13.38,19.04,割安（業種平均より低い）,1.06,1.51,割安（1倍前後かつ業種平均より低い）,1.38,,,,,,,,,
7951,ヤマハ,その他製造,,17.95,19.04,割安（業種平均より低い）,1.06,1.51,割安（1倍前後かつ業種平均より低い）,2.27,,,,,,,,,
7974,任天堂,サービス,,25.34,22.72,割高（業種平均以上）,2.71,3.73,やや割安（業種平均より低い）,2.37,,,,,,,,,
8001,伊藤忠商事,商社,,13.64,12.73,割高（業種平均以上）,1.96,1.61,割高（1倍超・業種平均以上）,2.37,,,,,,,,,
8002,丸紅,商社,,13.15,12.73,割高（業種平均以上）,1.76,1.61,割高（1倍超・業種平均以上）,2.45,,,,,,,,,
8015,豊田通商,商社,,14.01,12.73,割高（業種平均以上）,1.77,1.61,割高（1倍超・業種平均以上）,2.09,,,,,,,,,
8031,三井物産,商社,,13.85,12.73,割高（業種平均以上）,1.46,1.61,やや割安（業種平均より低い）,3.11,,,,,,,,,
8035,東京エレクトロン,電気機器,,63.80,40.90,割高（業種平均以上）,16.60,5.91,割高（1倍超・業種平均以上）,,,,,,,,,,
8053,住友商事,商社,,11.70,12.73,割安（業種平均より低い）,1.58,1.61,やや割安（業種平均より低い）,2.58,,,,,,,,,
8058,三菱商事,商社,,14.47,12.73,割高（業種平均以上）,1.71,1.61,割高（1倍超・業種平均以上）,2.87,,,,,,,,,
8233,高島屋,小売業,,19.30,26.93,割安（業種平均より低い）,1.64,3.72,やや割安（業種平均より低い）,1.59,,,,,,,,,
8252,丸井グループ,小売業,,17.35,26.93,割安（業種平均より低い）,2.08,3.72,やや割安（業種平均より低い）,4.67,,,,,,,,,
8253,クレディセゾン,その他金融,,8.38,16.09,割安（業種平均より低い）,0.81,2.80,割安（1倍前後かつ業種平均より低い）,3.63,,,,,,,,,
8267,イオン,小売業,,50.82,26.93,割高（業種平均以上）,3.12,3.72,やや割安（業種平均より低い）,1.11,,,,,,,,,
8304,あおぞら銀行,銀行,,13.91,14.13,割安（業種平均より低い）,0.78,1.36,割安（1倍前後かつ業種平均より低い）,3.68,,,,,,,,,
8306,三菱ＵＦＪフィナンシャル・グループ,銀行,,13.39,14.13,割安（業種平均より低い）,1.63,1.36,割高（1倍超・業種平均以上）,2.99,,,,,,,,,
8308,りそなホールディングス,銀行,,15.27,14.13,割高（業種平均以上）,1.63,1.36,割高（1倍超・業種平均以上）,1.75,,,,,,,,,
8309,三井住友トラストグループ,銀行,,10.97,14.13,割安（業種平均より低い）,1.16,1.36,割安（1倍前後かつ業種平均より低い）,3.13,,,,,,,,,
8316,三井住友フィナンシャルグループ,銀行,,14.23,14.13,割高（業種平均以上）,1.53,1.36,割高（1倍超・業種平均以上）,2.83,,,,,,,,,
8331,千葉銀行,銀行,,15.94,14.13,割高（業種平均以上）,1.36,1.36,やや割安（業種平均より低い）,2.59,,,,,,,,,
8354,ふくおかフィナンシャルグループ,銀行,,12.92,14.13,割安（業種平均より低い）,1.21,1.36,やや割安（業種平均より低い）,3.07,,,,,,,,,
8411,みずほフィナンシャルグループ,銀行,,14.51,14.13,割高（業種平均以上）,1.65,1.36,割高（1倍超・業種平均以上）,1.93,,,,,,,,,
8591,オリックス,その他金融,,12.76,16.09,割安（業種平均より低い）,1.51,2.80,やや割安（業種平均より低い）,2.53,,,,,,,,,
8601,大和証券グループ本社,証券,,,,データなし,1.25,1.18,割高（1倍超・業種平均以上）,2.75,,,,,,,,,
8604,野村ホールディングス,証券,,,,データなし,1.10,1.18,割安（1倍前後かつ業種平均より低い）,,,,,,,,,,
8630,SOMPOホールディングス,保険,,11.36,14.39,割安（業種平均より低い）,1.07,1.33,割安（1倍前後かつ業種平均より低い）,3.20,,,,,,,,,
8697,日本取引所グループ,その他金融,,27.12,16.09,割高（業種平均以上）,6.07,2.80,割高（1倍超・業種平均以上）,2.98,,,,,,,,,
8725,MS&ADインシュアランスグループホールディングス,保険,,14.44,14.39,割高（業種平均以上）,0.96,1.33,割安（1倍前後かつ業種平均より低い）,4.00,,,,,,,,,
8750,第一ライフグループ,保険,,12.48,14.39,割安（業種平均より低い）,1.47,1.33,割高（1倍超・業種平均以上）,4.04,,,,,,,,,
8766,東京海上ホールディングス,保険,,16.58,14.39,割高（業種平均以上）,1.74,1.33,割高（1倍超・業種平均以上）,3.40,,,,,,,,,
8795,T&Dホールディングス,保険,,17.09,14.39,割高（業種平均以上）,1.39,1.33,割高（1倍超・業種平均以上）,3.41,,,,,,,,,
8801,三井不動産,不動産,,14.16,14.20,割安（業種平均より低い）,1.25,1.34,やや割安（業種平均より低い）,2.46,,,,,,,,,
8802,三菱地所,不動産,,21.25,14.20,割高（業種平均以上）,1.87,1.34,割高（1倍超・業種平均以上）,1.18,,,,,,,,,
8804,東京建物,不動産,,10.86,14.20,割安（業種平均より低い）,1.17,1.34,割安（1倍前後かつ業種平均より低い）,3.70,,,,,,,,,
8830,住友不動産,不動産,,15.49,14.20,割高（業種平均以上）,1.40,1.34,割高（1倍超・業種平均以上）,1.39,,,,,,,,,
9001,東武鉄道,鉄道･バス,,10.21,11.87,割安（業種平均より低い）,0.93,1.01,割安（1倍前後かつ業種平均より低い）,2.56,,,,,,,,,
9005,東急,鉄道･バス,,10.56,11.87,割安（業種平均より低い）,1.05,1.01,割高（1倍超・業種平均以上）,1.91,,,,,,,,,
9007,小田急電鉄,鉄道･バス,,14.97,11.87,割高（業種平均以上）,1.15,1.01,割高（1倍超・業種平均以上）,3.59,,,,,,,,,
9008,京王電鉄,鉄道･バス,,10.07,11.87,割安（業種平均より低い）,0.98,1.01,割安（1倍前後かつ業種平均より低い）,2.94,,,,,,,,,
9009,京成電鉄,鉄道･バス,,14.25,11.87,割高（業種平均以上）,0.99,1.01,割安（1倍前後かつ業種平均より低い）,1.89,,,,,,,,,
9020,東日本旅客鉄道,鉄道･バス,,15.09,11.87,割高（業種平均以上）,1.28,1.01,割高（1倍超・業種平均以上）,2.46,,,,,,,,,
9021,西日本旅客鉄道,鉄道･バス,,12.40,11.87,割高（業種平均以上）,1.03,1.01,割高（1倍超・業種平均以上）,3.57,,,,,,,,,
9022,東海旅客鉄道,鉄道･バス,,7.40,11.87,割安（業種平均より低い）,0.66,1.01,割安（1倍前後かつ業種平均より低い）,0.92,,,,,,,,,
9064,ヤマトホールディングス,陸運,,36.31,28.30,割高（業種平均以上）,1.03,1.25,割安（1倍前後かつ業種平均より低い）,2.50,,,,,,,,,
9101,日本郵船,海運,,10.79,12.45,割安（業種平均より低い）,0.68,0.71,割安（1倍前後かつ業種平均より低い）,3.83,,,,,,,,,
9104,商船三井,海運,,10.54,12.45,割安（業種平均より低い）,0.63,0.71,割安（1倍前後かつ業種平均より低い）,3.93,,,,,,,,,
9107,川崎汽船,海運,,16.02,12.45,割高（業種平均以上）,0.83,0.71,割安（1倍以下）,4.82,,,,,,,,,
9147,NIPPON EXPRESSホールディングス,陸運,,20.28,28.30,割安（業種平均より低い）,1.46,1.25,割高（1倍超・業種平均以上）,1.98,,,,,,,,,
9201,日本航空,空運,,11.14,12.39,割安（業種平均より低い）,0.96,0.99,割安（1倍前後かつ業種平均より低い）,3.36,,,,,,,,,
9202,ANAホールディングス,空運,,13.63,12.39,割高（業種平均以上）,1.02,0.99,割高（1倍超・業種平均以上）,2.02,,,,,,,,,
9432,NTT,通信,,12.05,14.91,割安（業種平均より低い）,1.22,2.34,やや割安（業種平均より低い）,3.72,,,,,,,,,
9433,KDDI,通信,,,14.91,データなし,2.04,2.34,やや割安（業種平均より低い）,3.06,,,,,,,,,
9434,ソフトバンク,通信,,17.77,14.91,割高（業種平均以上）,3.77,2.34,割高（1倍超・業種平均以上）,4.22,,,,,,,,,
9502,中部電力,電気・ガス業,,9.37,11.86,割安（業種平均より低い）,0.68,0.98,割安（1倍前後かつ業種平均より低い）,2.48,,,,,,,,,
9503,関西電力,電気・ガス業,,7.58,11.86,割安（業種平均より低い）,0.81,0.98,割安（1倍前後かつ業種平均より低い）,3.06,,,,,,,,,
9531,東京瓦斯,電気・ガス業,,16.08,11.86,割高（業種平均以上）,1.28,0.98,割高（1倍超・業種平均以上）,1.82,,,,,,,,,
9532,大阪瓦斯,電気・ガス業,,14.40,11.86,割高（業種平均以上）,1.16,0.98,割高（1倍超・業種平均以上）,2.39,,,,,,,,,
9735,セコム,サービス,,24.18,22.72,割高（業種平均以上）,1.95,3.73,やや割安（業種平均より低い）,1.90,,,,,,,,,
9766,コナミグループ,情報・通信業,,29.91,28.84,割高（業種平均以上）,4.79,3.42,割高（1倍超・業種平均以上）,1.00,,,,,,,,,
9843,ニトリホールディングス,小売業,,16.45,26.93,割安（業種平均より低い）,1.51,3.72,やや割安（業種平均より低い）,1.21,,,,,,,,,
9962,ミスミグループ本社,卸売業,,26.79,26.79,業種内比較銘柄なし（1社のみ）,2.64,2.64,業種内比較銘柄なし（1社のみ）,1.40,,,,,,,,,
9983,ファーストリテイリング,小売業,,48.00,26.93,割高（業種平均以上）,8.75,3.72,割高（1倍超・業種平均以上）,0.85,,,,,,,,,
9984,ソフトバンクグループ,情報・通信業,,27.77,28.84,割安（業種平均より低い）,2.05,3.42,やや割安（業種平均より低い）,0.20,,,,,,,,,
